"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","4","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.login.LoginTest","com.qa.parabank.tests.login.LoginTest","verifyErrorMessageForUnsuccessfulLogin","Verify a blocking message will be displayed when providing wrong credentials.",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","1","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.bill.BillPayTest","com.qa.parabank.tests.bill.BillPayTest","verifySuccessfulBillPay","Verify Bill payment will be successful and user wil have zero balance",""
"broken","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","2","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.transferfunds.TransferFundsTest","com.qa.parabank.tests.transferfunds.TransferFundsTest","setup","setup",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","1","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.loan.RequestLoanTest","com.qa.parabank.tests.loan.RequestLoanTest","verifyLoanStatusWillBeDenied","Verify the Loan status will be Denied when the amount less than the down payment",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","2","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.transferfunds.TransferFundsTest","com.qa.parabank.tests.transferfunds.TransferFundsTest","verifyTransferFromToSameAccount","Verify a blocking message will be displayed when Transfer From - To Same Account",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","0","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.bill.BillPayTest","com.qa.parabank.tests.bill.BillPayTest","verifyUnSuccessfulBillPay","Verify Bill Payment will be unsuccessful with a blocking message",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","4","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.transferfunds.TransferFundsTest","com.qa.parabank.tests.transferfunds.TransferFundsTest","verifyTransferAmountMoreThanTheBalanceInAccount","Verify a blocking message will be displayed when transfer amount more than the balance in account",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","3","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.login.LoginTest","com.qa.parabank.tests.login.LoginTest","verifyTotalBalance","Verify the total balance after creating multiple accounts",""
"broken","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","1","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.loan.RequestLoanTest","com.qa.parabank.tests.loan.RequestLoanTest","setup","setup",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","4","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.login.LoginTest","com.qa.parabank.tests.login.LoginTest","verifySuccessfulLogin","Verify The system will open the main page after successful login.",""
"broken","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","4","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.login.LoginTest","com.qa.parabank.tests.login.LoginTest","setup","setup",""
"skipped","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","0","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.loan.RequestLoanTest","com.qa.parabank.tests.loan.RequestLoanTest","verifyLoanStatusWillBeApproved","Verify the Loan status will be Approved when the amount more than the down payment",""
"broken","Tue Jan 02 08:23:26 GMT 2024","Tue Jan 02 08:23:26 GMT 2024","0","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.bill.BillPayTest","com.qa.parabank.tests.bill.BillPayTest","setup","setup",""
